GoodID,GoodCode,Inventory quantity,Product GID,Variant GID,Inventory Item ID
7215,NUO2-6001-DD,0,gid://shopify/Product/8643858727111,gid://shopify/ProductVariant/46276192338119,gid://shopify/InventoryItem/48396572885191
7216,NUO2-TC12-20-5,0,gid://shopify/Product/8643859808455,gid://shopify/ProductVariant/46276193452231,gid://shopify/InventoryItem/48396573999303
8198,RAN2-10060051,0,gid://shopify/Product/8644289986759,gid://shopify/ProductVariant/46277160272071,gid://shopify/InventoryItem/48397545078983
8629,RAN2-34040024,0,gid://shopify/Product/8643897950407,gid://shopify/ProductVariant/46276261609671,gid://shopify/InventoryItem/48396642156743
9090,CEC2-G023A,0,gid://shopify/Product/8643091988679,gid://shopify/ProductVariant/46273021313223,gid://shopify/InventoryItem/48393385836743
9492,WIN2-3105140,0,gid://shopify/Product/8644244668615,gid://shopify/ProductVariant/46277089493191,gid://shopify/InventoryItem/48397473087687
9603,WIN2-2213001,0,gid://shopify/Product/8644181754055,gid://shopify/ProductVariant/46276880990407,gid://shopify/InventoryItem/48397263601863
9658,WIN2-3104057,0,gid://shopify/Product/8644243554503,gid://shopify/ProductVariant/46277088379079,gid://shopify/InventoryItem/48397471973575
9666,WIN2-3105199,0,gid://shopify/Product/8644244766919,gid://shopify/ProductVariant/46277089591495,gid://shopify/InventoryItem/48397473185991
9667,WIN2-3106043,0,gid://shopify/Product/8644244799687,gid://shopify/ProductVariant/46277089624263,gid://shopify/InventoryItem/48397473218759
9793,WIN2-3102277,0,gid://shopify/Product/8644187226311,gid://shopify/ProductVariant/46276891607239,gid://shopify/InventoryItem/48397274218695
9799,WIN2-3105144,0,gid://shopify/Product/8644244701383,gid://shopify/ProductVariant/46277089525959,gid://shopify/InventoryItem/48397473120455
10083,HOB2-A-200-T,0,gid://shopify/Product/8643734012103,gid://shopify/ProductVariant/46276010410183,gid://shopify/InventoryItem/48396389155015
10243,RAN2-38123063,0,gid://shopify/Product/8644285137095,gid://shopify/ProductVariant/46277153816775,gid://shopify/InventoryItem/48397538328775
10347,RAN2-10706017,0,gid://shopify/Product/8644293361863,gid://shopify/ProductVariant/46277167481031,gid://shopify/InventoryItem/48397552419015
10376,RAN2-38228030,0,gid://shopify/Product/8644286185671,gid://shopify/ProductVariant/46277154898119,gid://shopify/InventoryItem/48397539541191
10538,RAN2-20102931,0,gid://shopify/Product/8644294377671,gid://shopify/ProductVariant/46277170299079,gid://shopify/InventoryItem/48397555237063
11104,RAN2-34011026,0,gid://shopify/Product/8643896967367,gid://shopify/ProductVariant/46276260069575,gid://shopify/InventoryItem/48396640616647
11108,RAN2-34040012,0,gid://shopify/Product/8643897852103,gid://shopify/ProductVariant/46276261413063,gid://shopify/InventoryItem/48396641960135
11123,RAN2-38123077,0,gid://shopify/Product/8644285333703,gid://shopify/ProductVariant/46277154046151,gid://shopify/InventoryItem/48397538689223
11207,NEW2-THERMOSTAT,0,gid://shopify/Product/8644307517639,gid://shopify/ProductVariant/46277187174599,gid://shopify/InventoryItem/48397572702407
11208,NEW2-แผ่นS-S,0,gid://shopify/Product/8710986989767,gid://shopify/ProductVariant/46576296657095,gid://shopify/InventoryItem/48702587928775
11597,ROB2-กระป๋องSS,0,gid://shopify/Product/8710987022535,gid://shopify/ProductVariant/46576296689863,gid://shopify/InventoryItem/48702587961543
11811,RAN2-33324031,0,gid://shopify/Product/8643896836295,gid://shopify/ProductVariant/46276259938503,gid://shopify/InventoryItem/48396640485575
11817,RAN2-40100105,0,gid://shopify/Product/8644286447815,gid://shopify/ProductVariant/46277155160263,gid://shopify/InventoryItem/48397539803335
11838,RAN2-36220018,0,gid://shopify/Product/8643899752647,gid://shopify/ProductVariant/46276267704519,gid://shopify/InventoryItem/48396648251591
11867,RAN2-10706023,0,gid://shopify/Product/8644293427399,gid://shopify/ProductVariant/46277167579335,gid://shopify/InventoryItem/48397552517319
12039,RAN2-36301030,0,gid://shopify/Product/8643900014791,gid://shopify/ProductVariant/46276268294343,gid://shopify/InventoryItem/48396648841415
12042,RAN2-20102940,0,gid://shopify/Product/8644294410439,gid://shopify/ProductVariant/46277170331847,gid://shopify/InventoryItem/48397555269831
12196,RON2-8584T05,0,gid://shopify/Product/8644275667143,gid://shopify/ProductVariant/46277143986375,gid://shopify/InventoryItem/48397528039623
12214,RON2-SUPPORT,0,gid://shopify/Product/8644276191431,gid://shopify/ProductVariant/46277144510663,gid://shopify/InventoryItem/48397528563911
12261,RAN2-35162504,0,gid://shopify/Product/8643899556039,gid://shopify/ProductVariant/46276267507911,gid://shopify/InventoryItem/48396648054983
12279,RAN2-3622009,0,gid://shopify/Product/8643899850951,gid://shopify/ProductVariant/46276267835591,gid://shopify/InventoryItem/48396648382663
12281,RAN2-36404109,0,gid://shopify/Product/8643900375239,gid://shopify/ProductVariant/46276268916935,gid://shopify/InventoryItem/48396649464007
12443,RAN2-10022202,0,gid://shopify/Product/8644289626311,gid://shopify/ProductVariant/46277159289031,gid://shopify/InventoryItem/48397544095943
12444,RAN2-20102701,0,gid://shopify/Product/8644294344903,gid://shopify/ProductVariant/46277170266311,gid://shopify/InventoryItem/48397555204295
12558,HAT2-X0209261,0,gid://shopify/Product/8643127148743,gid://shopify/ProductVariant/46273071710407,gid://shopify/InventoryItem/48393436233927
12917,WIN2-3104059,0,gid://shopify/Product/8644243620039,gid://shopify/ProductVariant/46277088444615,gid://shopify/InventoryItem/48397472039111
13056,WIN2-3102392,0,gid://shopify/Product/8644187586759,gid://shopify/ProductVariant/46276891967687,gid://shopify/InventoryItem/48397274579143
13058,WIN2-3102444,0,gid://shopify/Product/8644187717831,gid://shopify/ProductVariant/46276892098759,gid://shopify/InventoryItem/48397274710215
13127,WIN2-3104058,0,gid://shopify/Product/8644243587271,gid://shopify/ProductVariant/46277088411847,gid://shopify/InventoryItem/48397472006343
13128,WIN2-3104066,0,gid://shopify/Product/8644243685575,gid://shopify/ProductVariant/46277088510151,gid://shopify/InventoryItem/48397472104647
14224,CAS2-5113912,0,gid://shopify/Product/8644537876679,gid://shopify/ProductVariant/46277556568263,gid://shopify/InventoryItem/48397944258759
15082,HAT2-X04.05.528.00,0,gid://shopify/Product/8644474503367,gid://shopify/ProductVariant/46277468913863,gid://shopify/InventoryItem/48397856178375
15246,CAS2-5072524,0,gid://shopify/Product/8644537778375,gid://shopify/ProductVariant/46277556469959,gid://shopify/InventoryItem/48397944160455
15373,ETL2-002647,0,gid://shopify/Product/8644538171591,gid://shopify/ProductVariant/46277556863175,gid://shopify/InventoryItem/48397944553671
15374,ETL2-002650,0,gid://shopify/Product/8644538269895,gid://shopify/ProductVariant/46277556994247,gid://shopify/InventoryItem/48397944684743
15375,ETL2-002717,0,gid://shopify/Product/8644538368199,gid://shopify/ProductVariant/46277557059783,gid://shopify/InventoryItem/48397944750279
15376,ETL2-0C8758,0,gid://shopify/Product/8644538433735,gid://shopify/ProductVariant/46277557125319,gid://shopify/InventoryItem/48397944815815
15589,MMT2-59214756,0,gid://shopify/Product/8645624463559,gid://shopify/ProductVariant/46281407660231,gid://shopify/InventoryItem/48401845354695
15590,HAT2-RHW-11QT-LID-HG,0,gid://shopify/Product/8645620826311,gid://shopify/ProductVariant/46281403859143,gid://shopify/InventoryItem/48401841520839
15943,MID2-74319,0,gid://shopify/Product/8645624398023,gid://shopify/ProductVariant/46281407594695,gid://shopify/InventoryItem/48401845289159
15976,RON2-52260,0,gid://shopify/Product/8645627052231,gid://shopify/ProductVariant/46281411264711,gid://shopify/InventoryItem/48401848959175
17080,RAN2-36220018(L4),0,gid://shopify/Product/8643899818183,gid://shopify/ProductVariant/46276267802823,gid://shopify/InventoryItem/48396648349895
17130,KIT2-W10305968,0,gid://shopify/Product/8644693557447,gid://shopify/ProductVariant/46277876973767,gid://shopify/InventoryItem/48398267252935
17134,KIT2-W10420628,0,gid://shopify/Product/8644693622983,gid://shopify/ProductVariant/46277877039303,gid://shopify/InventoryItem/48398267318471
17142,KIT2-W10354780,0,gid://shopify/Product/8644693590215,gid://shopify/ProductVariant/46277877006535,gid://shopify/InventoryItem/48398267285703
17153,KIT2-9706788,0,gid://shopify/Product/8644693491911,gid://shopify/ProductVariant/46277876908231,gid://shopify/InventoryItem/48398267187399
17174,MID2-36541,0,gid://shopify/Product/8643821240519,gid://shopify/ProductVariant/46276139221191,gid://shopify/InventoryItem/48396519768263
18040,RAN2-10705384,0,gid://shopify/Product/8644292804807,gid://shopify/ProductVariant/46277166006471,gid://shopify/InventoryItem/48397550944455
18319,RAN2-38123758,0,gid://shopify/Product/8644285759687,gid://shopify/ProductVariant/46277154472135,gid://shopify/InventoryItem/48397539115207
18552,RAN2-36990004,0,gid://shopify/Product/8643900539079,gid://shopify/ProductVariant/46276269146311,gid://shopify/InventoryItem/48396649693383
18615,POW2-WRG1G0004,0,gid://shopify/Product/8643894313159,gid://shopify/ProductVariant/46276256071879,gid://shopify/InventoryItem/48396636618951
18616,POW2-WRG1G0001,0,gid://shopify/Product/8643894149319,gid://shopify/ProductVariant/46276255645895,gid://shopify/InventoryItem/48396636192967
18662,MID2-97525(TH),0,gid://shopify/Product/8643831103687,gid://shopify/ProductVariant/46276149870791,gid://shopify/InventoryItem/48396530417863
22219,CAM2-60064,0,gid://shopify/Product/8645618335943,gid://shopify/ProductVariant/46281401237703,gid://shopify/InventoryItem/48401838932167
22257,FIR2-40700610,0,gid://shopify/Product/8645619351751,gid://shopify/ProductVariant/46281402253511,gid://shopify/InventoryItem/48401839947975
26298,MID2-35900-0255,0,gid://shopify/Product/8645624365255,gid://shopify/ProductVariant/46281407561927,gid://shopify/InventoryItem/48401845256391
28036,MAX2-001-EJ102,0,gid://shopify/Product/8643811541191,gid://shopify/ProductVariant/46276126867655,gid://shopify/InventoryItem/48396507414727
28228,RAN2-38123753A,0,gid://shopify/Product/8644285628615,gid://shopify/ProductVariant/46277154341063,gid://shopify/InventoryItem/48397538984135
30115,SIR2-19300107N+19300207,0,gid://shopify/Product/8644781834439,gid://shopify/ProductVariant/46277997461703,gid://shopify/InventoryItem/48398387740871
31087,ROB2-HC1059,0,gid://shopify/Product/8643917578439,gid://shopify/ProductVariant/46276296573127,gid://shopify/InventoryItem/48396677120199
31314,SIR2-60150002,0,gid://shopify/Product/8644107075783,gid://shopify/ProductVariant/46276750377159,gid://shopify/InventoryItem/48397132988615
42234,HOU2-034708,0,gid://shopify/Product/8643735453895,gid://shopify/ProductVariant/46276012998855,gid://shopify/InventoryItem/48396391448775
42315,HOU2-034682,0,gid://shopify/Product/8643735388359,gid://shopify/ProductVariant/46276012376263,gid://shopify/InventoryItem/48396391121095
42316,HOU2-014667,0,gid://shopify/Product/8643735060679,gid://shopify/ProductVariant/46276012015815,gid://shopify/InventoryItem/48396390760647
42317,HOU2-016048,0,gid://shopify/Product/8643735126215,gid://shopify/ProductVariant/46276012114119,gid://shopify/InventoryItem/48396390858951
42318,HOU2-015298,0,gid://shopify/Product/8643735093447,gid://shopify/ProductVariant/46276012081351,gid://shopify/InventoryItem/48396390826183
42655,WIN2-30002178,0,gid://shopify/Product/8644185456839,gid://shopify/ProductVariant/46276889411783,gid://shopify/InventoryItem/48397272023239
43365,NFZ2-CNT-4009,0,gid://shopify/Product/8645624496327,gid://shopify/ProductVariant/46281407692999,gid://shopify/InventoryItem/48401845387463
43366,NFZ2-T97525,0,gid://shopify/Product/8645624529095,gid://shopify/ProductVariant/46281407725767,gid://shopify/InventoryItem/48401845420231
43430,ROL2-SH01129,0,gid://shopify/Product/8645626888391,gid://shopify/ProductVariant/46281411100871,gid://shopify/InventoryItem/48401848795335
43713,RTN2-40.06.808P,0,gid://shopify/Product/8645629673671,gid://shopify/ProductVariant/46281423192263,gid://shopify/InventoryItem/48401860886727
43714,RTN2-10.01.751P,0,gid://shopify/Product/8645629575367,gid://shopify/ProductVariant/46281423093959,gid://shopify/InventoryItem/48401860788423
43769,VTS2-FEA-2ERD-P-INLET+CONV,0,gid://shopify/Product/8645639602375,gid://shopify/ProductVariant/46281445736647,gid://shopify/InventoryItem/48401883431111
43781,RON2-B1010295,0,gid://shopify/Product/8645627216071,gid://shopify/ProductVariant/46281411428551,gid://shopify/InventoryItem/48401849123015
43785,RON2-162497,0,gid://shopify/Product/8645627019463,gid://shopify/ProductVariant/46281411231943,gid://shopify/InventoryItem/48401848926407
43831,NVA2-112-0343-A,0,gid://shopify/Product/8645624627399,gid://shopify/ProductVariant/46281407824071,gid://shopify/InventoryItem/48401845518535
