GID,specs.width_mm,specs.depth_mm,specs.height_mm,specs.weight_kg,specs.voltage,specs.hz,specs.wattage,specs.ampere,specs.chiller_door_amount,specs.chiller_capacity_liter,specs.chiller_temperature,specs.refrigerant,specs.spareparts_warranty,specs.service_warranty,specs.product_of,specs.certificates
gid://shopify/Product/8646062473415,1260,850,1926,142,220,50,366,3.5,4,1210,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645472518343,1260,850,1926,142,220,50,366,3.5,4,1210,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645473534151,1260,860,1926,142,220,50,366,5.3,4,1210,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646062506183,1260,850,1926,142,220,50,366,3.5,4,1210,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646062735559,1900,860,1926,177,220,50,732,6,3,1876,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645497553095,1900,860,1926,177,220,50,732,6,3,1876,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646062833863,1900,860,1926,177,220,50,732,6,3,1876,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646062670023,1900,850,1926,167,220,50,732,6,3,1876,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645472485575,1900,850,1926,167,220,50,732,6,3,1876,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646062702791,1900,850,1926,167,220,50,732,6,3,1876,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645502861511,1900,860,1926,177,220,50,732,6,6,1868,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646063030471,1900,860,1926,177,220,50,732,6,6,1868,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646063063239,1900,860,1926,177,220,50,732,6,6,1868,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646062899399,1900,850,1926,167,220,50,732,6,6,1868,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645472452807,1900,850,1926,167,220,50,732,6,6,1868,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646062964935,1900,850,1926,167,220,50,732,6,6,1868,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646063128775,640,860,1926,85,220,50,366,3.5,1,242,1°C~8°C,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646063161543,640,860,1926,85,220,50,366,3.5,1,242,1°C~8°C,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645497356487,640,860,1926,85,220,50,366,3.5,1,242,1°C~8°C,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646063227079,1260,860,1926,152,220,50,732,4.5,2,576,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645652250823,,,,,,,,,,,,,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645472420039,1260,860,1926,152,220,50,732,4.5,2,576,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
