product_gid,status
gid://shopify/Product/8644375740615,QUEUED
gid://shopify/Product/8644375806151,QUEUED
gid://shopify/Product/8644376101063,QUEUED
gid://shopify/Product/8644690247879,QUEUED
gid://shopify/Product/8642989097159,QUEUED
gid://shopify/Product/8645502435527,QUEUED
gid://shopify/Product/8645502468295,QUEUED
gid://shopify/Product/8646051528903,QUEUED
gid://shopify/Product/8645502501063,QUEUED
gid://shopify/Product/8642989162695,QUEUED
gid://shopify/Product/8646051594439,QUEUED
gid://shopify/Product/8646051659975,QUEUED
gid://shopify/Product/8646051692743,QUEUED
gid://shopify/Product/8645502533831,QUEUED
gid://shopify/Product/8645502566599,QUEUED
gid://shopify/Product/8645502599367,QUEUED
gid://shopify/Product/8644375609543,QUEUED
gid://shopify/Product/8644375773383,QUEUED
gid://shopify/Product/8644668195015,QUEUED
gid://shopify/Product/8645500141767,QUEUED
gid://shopify/Product/8645960761543,QUEUED
gid://shopify/Product/8645960794311,QUEUED
gid://shopify/Product/8642989228231,QUEUED
gid://shopify/Product/8644375576775,QUEUED
gid://shopify/Product/8646026363079,QUEUED
gid://shopify/Product/8645711528135,QUEUED
gid://shopify/Product/8644690378951,QUEUED
gid://shopify/Product/8644704403655,QUEUED
gid://shopify/Product/8645499060423,QUEUED
gid://shopify/Product/8645508989127,QUEUED
gid://shopify/Product/8645641633991,QUEUED
gid://shopify/Product/8645502304455,QUEUED
gid://shopify/Product/8645502337223,QUEUED
gid://shopify/Product/8646051365063,QUEUED
gid://shopify/Product/8646051397831,QUEUED
gid://shopify/Product/8646051430599,QUEUED
gid://shopify/Product/8646051463367,QUEUED
gid://shopify/Product/8645509316807,QUEUED
gid://shopify/Product/8646052118727,QUEUED
gid://shopify/Product/8646052151495,QUEUED
gid://shopify/Product/8644375412935,QUEUED
gid://shopify/Product/8644375118023,QUEUED
gid://shopify/Product/8644375085255,QUEUED
gid://shopify/Product/8644374626503,QUEUED
gid://shopify/Product/8644374659271,QUEUED
gid://shopify/Product/8644375281863,QUEUED
gid://shopify/Product/8644375183559,QUEUED
gid://shopify/Product/8645500207303,QUEUED
gid://shopify/Product/8645500240071,QUEUED
gid://shopify/Product/8642989293767,QUEUED
gid://shopify/Product/8644772954311,QUEUED
gid://shopify/Product/8645849841863,QUEUED
gid://shopify/Product/8645500272839,QUEUED
gid://shopify/Product/8645500305607,QUEUED
gid://shopify/Product/8645500436679,QUEUED
gid://shopify/Product/8645937168583,QUEUED
gid://shopify/Product/8645504598215,QUEUED
gid://shopify/Product/8645504303303,QUEUED
gid://shopify/Product/8644672094407,QUEUED
gid://shopify/Product/8644783407303,QUEUED
gid://shopify/Product/8642989326535,QUEUED
gid://shopify/Product/8644497178823,QUEUED
gid://shopify/Product/8644497146055,QUEUED
gid://shopify/Product/8642989359303,QUEUED
gid://shopify/Product/8642989392071,QUEUED
gid://shopify/Product/8644761485511,QUEUED
gid://shopify/Product/8644761518279,QUEUED
gid://shopify/Product/8644761583815,QUEUED
gid://shopify/Product/8645516198087,QUEUED
gid://shopify/Product/8645516230855,QUEUED
gid://shopify/Product/8644772856007,QUEUED
gid://shopify/Product/8644761911495,QUEUED
gid://shopify/Product/8645676794055,QUEUED
gid://shopify/Product/8645960368327,QUEUED
gid://shopify/Product/8645960401095,QUEUED
gid://shopify/Product/8642989424839,QUEUED
gid://shopify/Product/8645479923911,QUEUED
gid://shopify/Product/8645479956679,QUEUED
gid://shopify/Product/8645859934407,QUEUED
gid://shopify/Product/8642989457607,QUEUED
gid://shopify/Product/8645711462599,QUEUED
gid://shopify/Product/8642989490375,QUEUED
gid://shopify/Product/8642989523143,QUEUED
gid://shopify/Product/8642989555911,QUEUED
gid://shopify/Product/8642989588679,QUEUED
gid://shopify/Product/8645533040839,QUEUED
gid://shopify/Product/8645528584391,QUEUED
gid://shopify/Product/8645532811463,QUEUED
gid://shopify/Product/8645498568903,QUEUED
gid://shopify/Product/8645708447943,QUEUED
gid://shopify/Product/8645498699975,QUEUED
gid://shopify/Product/8645498732743,QUEUED
gid://shopify/Product/8645517508807,QUEUED
gid://shopify/Product/8645517476039,QUEUED
gid://shopify/Product/8645517246663,QUEUED
gid://shopify/Product/8645517279431,QUEUED
gid://shopify/Product/8645517312199,QUEUED
gid://shopify/Product/8645517377735,QUEUED
gid://shopify/Product/8645517443271,QUEUED
gid://shopify/Product/8645870649543,QUEUED
gid://shopify/Product/8642989621447,QUEUED
gid://shopify/Product/8644694016199,QUEUED
gid://shopify/Product/8642989654215,QUEUED
gid://shopify/Product/8642989686983,QUEUED
gid://shopify/Product/8645501583559,QUEUED
gid://shopify/Product/8645501616327,QUEUED
gid://shopify/Product/8645877366983,QUEUED
gid://shopify/Product/8645501649095,QUEUED
gid://shopify/Product/8645501681863,QUEUED
gid://shopify/Product/8645501714631,QUEUED
gid://shopify/Product/8645877399751,QUEUED
gid://shopify/Product/8642989719751,QUEUED
gid://shopify/Product/8645877498055,QUEUED
gid://shopify/Product/8645521637575,QUEUED
gid://shopify/Product/8646051856583,QUEUED
gid://shopify/Product/8645526126791,QUEUED
gid://shopify/Product/8642989752519,QUEUED
gid://shopify/Product/8645877563591,QUEUED
gid://shopify/Product/8646051889351,QUEUED
gid://shopify/Product/8645877596359,QUEUED
gid://shopify/Product/8646051954887,QUEUED
gid://shopify/Product/8646051987655,QUEUED
gid://shopify/Product/8645502632135,QUEUED
gid://shopify/Product/8645502664903,QUEUED
gid://shopify/Product/8646052020423,QUEUED
gid://shopify/Product/8646052053191,QUEUED
gid://shopify/Product/8645502763207,QUEUED
gid://shopify/Product/8644375019719,QUEUED
gid://shopify/Product/8644668227783,QUEUED
gid://shopify/Product/8644784685255,QUEUED
gid://shopify/Product/8644741595335,QUEUED
gid://shopify/Product/8645711560903,QUEUED
gid://shopify/Product/8645509087431,QUEUED
gid://shopify/Product/8645509120199,QUEUED
gid://shopify/Product/8645500174535,QUEUED
gid://shopify/Product/8645504630983,QUEUED
gid://shopify/Product/8645504172231,QUEUED
gid://shopify/Product/8645504434375,QUEUED
gid://shopify/Product/8645504467143,QUEUED
gid://shopify/Product/8645500502215,QUEUED
gid://shopify/Product/8645500633287,QUEUED
gid://shopify/Product/8645500698823,QUEUED
gid://shopify/Product/8645500731591,QUEUED
gid://shopify/Product/8645500764359,QUEUED
gid://shopify/Product/8645500895431,QUEUED
gid://shopify/Product/8645500960967,QUEUED
gid://shopify/Product/8644672127175,QUEUED
gid://shopify/Product/8644672159943,QUEUED
gid://shopify/Product/8644693786823,QUEUED
gid://shopify/Product/8642989818055,QUEUED
gid://shopify/Product/8642989850823,QUEUED
gid://shopify/Product/8642989883591,QUEUED
gid://shopify/Product/8642989916359,QUEUED
gid://shopify/Product/8644761878727,QUEUED
gid://shopify/Product/8644690116807,QUEUED
gid://shopify/Product/8642989949127,QUEUED
gid://shopify/Product/8644512350407,QUEUED
gid://shopify/Product/8644512383175,QUEUED
gid://shopify/Product/8644762599623,QUEUED
gid://shopify/Product/8645516099783,QUEUED
gid://shopify/Product/8645521834183,QUEUED
gid://shopify/Product/8642989981895,QUEUED
gid://shopify/Product/8645708120263,QUEUED
gid://shopify/Product/8645532942535,QUEUED
gid://shopify/Product/8642990014663,QUEUED
gid://shopify/Product/8645532975303,QUEUED
gid://shopify/Product/8645533106375,QUEUED
