Menu Handle,Menu Item Title,Menu Item Type,Menu Item URL,Parent Menu Item Title
main-menu,Pump,collection,/collections/pump,"Pumps, Compressors & Fluid Systems"
main-menu,Regulator,collection,/collections/regulator,"Pumps, Compressors & Fluid Systems"
main-menu,Solenoid,collection,/collections/solenoid,"Pumps, Compressors & Fluid Systems"
main-menu,Spray Nozzle,collection,/collections/spray-nozzle,"Pumps, Compressors & Fluid Systems"
main-menu,Tank,collection,/collections/tank,"Pumps, Compressors & Fluid Systems"
main-menu,Tap,collection,/collections/tap,"Pumps, Compressors & Fluid Systems"
main-menu,Union Joint,collection,/collections/union-joint,"Pumps, Compressors & Fluid Systems"
main-menu,Vacuum Pump,collection,/collections/vacuum-pump,"Pumps, Compressors & Fluid Systems"
main-menu,Valve,collection,/collections/valve,"Pumps, Compressors & Fluid Systems"
main-menu,Alarm,collection,/collections/alarm,Safety & Protection Devices
main-menu,Barrier,collection,/collections/barrier,Safety & Protection Devices
main-menu,Breaker,collection,/collections/breaker,Safety & Protection Devices
main-menu,Circuit Protector,collection,/collections/circuit-protector,Safety & Protection Devices
main-menu,Cover Plate,collection,/collections/cover-plate,Safety & Protection Devices
main-menu,Earth Leakage,collection,/collections/earth-leakage,Safety & Protection Devices
main-menu,Emergency Stop Button,collection,/collections/emergency-stop-button,Safety & Protection Devices
main-menu,Emergency Switch,collection,/collections/emergency-switch,Safety & Protection Devices
main-menu,Fuse Box,collection,/collections/fuse-box,Safety & Protection Devices
main-menu,Fuse Holder,collection,/collections/fuse-holder,Safety & Protection Devices
main-menu,Fuse Link,collection,/collections/fuse-link,Safety & Protection Devices
main-menu,Guard Plate,collection,/collections/guard-plate,Safety & Protection Devices
main-menu,Heat Shield,collection,/collections/heat-shield,Safety & Protection Devices
main-menu,Indicator Lamp,collection,/collections/indicator-lamp,Safety & Protection Devices
main-menu,Isolation Switch,collection,/collections/isolation-switch,Safety & Protection Devices
main-menu,Lockout Device,collection,/collections/lockout-device,Safety & Protection Devices
main-menu,Overload,collection,/collections/overload,Safety & Protection Devices
main-menu,Protective Cap,collection,/collections/protective-cap,Safety & Protection Devices
main-menu,Relay Socket,collection,/collections/relay-socket,Safety & Protection Devices
main-menu,Reset Switch,collection,/collections/reset-switch,Safety & Protection Devices
main-menu,Safety Barrier,collection,/collections/safety-barrier,Safety & Protection Devices
main-menu,Safety Cover,collection,/collections/safety-cover,Safety & Protection Devices
main-menu,Safety Switch,collection,/collections/safety-switch,Safety & Protection Devices
main-menu,Sensor Alarm,collection,/collections/sensor-alarm,Safety & Protection Devices
main-menu,Shield,collection,/collections/shield,Safety & Protection Devices
main-menu,Surge Protector,collection,/collections/surge-protector,Safety & Protection Devices
main-menu,Switch Guard,collection,/collections/switch-guard,Safety & Protection Devices
main-menu,Thermal Cutoff,collection,/collections/thermal-cutoff,Safety & Protection Devices
main-menu,Thermal Relay,collection,/collections/thermal-relay,Safety & Protection Devices
main-menu,Basket,collection,/collections/basket,"Storage, Handling & Mobility"
main-menu,Bin,collection,/collections/bin,"Storage, Handling & Mobility"
