Parent Menu Item Title,Menu Item Title,Menu Item Type,Menu Item URL
Control Boards & Sensors,Pressure Switch,COLLECTION,/collections/pressure-switch
Control Boards & Sensors,Probe,COLLECTION,/collections/probe
Control Boards & Sensors,Proximity Sensor,COLLECTION,/collections/proximity-sensor
Control Boards & Sensors,Sensor,COLLECTION,/collections/sensor
Control Boards & Sensors,Speed Control,COLLECTION,/collections/speed-control
Control Boards & Sensors,Temp Control,COLLECTION,/collections/temp-control
Control Boards & Sensors,Thermocouple,COLLECTION,/collections/thermocouple
Control Boards & Sensors,Thermometers,COLLECTION,/collections/thermometers
Control Boards & Sensors,Thermopile,COLLECTION,/collections/thermopile
Control Boards & Sensors,Thermostat,COLLECTION,/collections/thermostat
Control Boards & Sensors,Timer,COLLECTION,/collections/timer
Control Boards & Sensors,Transducer,COLLECTION,/collections/transducer
Category Spare Parts,Electrical & Electronic Components,COLLECTION,/collections/electrical-electronic-components
Electrical & Electronic Components,Ballast,COLLECTION,/collections/ballast
Electrical & Electronic Components,Buzzer,COLLECTION,/collections/buzzer
Electrical & Electronic Components,Cable,COLLECTION,/collections/cable
Electrical & Electronic Components,Capacitor,COLLECTION,/collections/capacitor
Electrical & Electronic Components,Coil,COLLECTION,/collections/coil
Electrical & Electronic Components,Connector,COLLECTION,/collections/connector
Electrical & Electronic Components,Contactor,COLLECTION,/collections/contactor
Electrical & Electronic Components,Diode,COLLECTION,/collections/diode
Electrical & Electronic Components,Display,COLLECTION,/collections/display
Electrical & Electronic Components,Door Switch,COLLECTION,/collections/door-switch
Electrical & Electronic Components,Fuse,COLLECTION,/collections/fuse
Electrical & Electronic Components,Indicator,COLLECTION,/collections/indicator
Electrical & Electronic Components,Inductor,COLLECTION,/collections/inductor
Electrical & Electronic Components,Lamp,COLLECTION,/collections/lamp
Electrical & Electronic Components,Lamp Holder,COLLECTION,/collections/lamp-holder
Electrical & Electronic Components,Light,COLLECTION,/collections/light
Electrical & Electronic Components,Magnet Switch,COLLECTION,/collections/magnet-switch
Electrical & Electronic Components,Magnetron,COLLECTION,/collections/magnetron
Electrical & Electronic Components,Plug,COLLECTION,/collections/plug
Electrical & Electronic Components,Potentiometer,COLLECTION,/collections/potentiometer
Electrical & Electronic Components,Power Cord,COLLECTION,/collections/power-cord
Electrical & Electronic Components,Relay,COLLECTION,/collections/relay
Electrical & Electronic Components,Resistor,COLLECTION,/collections/resistor
Electrical & Electronic Components,Rocker Switch,COLLECTION,/collections/rocker-switch
Electrical & Electronic Components,Socket,COLLECTION,/collections/socket
Electrical & Electronic Components,Speaker,COLLECTION,/collections/speaker
Electrical & Electronic Components,Switch,COLLECTION,/collections/switch
Electrical & Electronic Components,Terminal,COLLECTION,/collections/terminal
Electrical & Electronic Components,Transformer,COLLECTION,/collections/transformer
Electrical & Electronic Components,Wire,COLLECTION,/collections/wire
Category Spare Parts,Mechanical & Mounting Hardware,COLLECTION,/collections/mechanical-mounting-hardware
Mechanical & Mounting Hardware,Adapter,COLLECTION,/collections/adapter
Mechanical & Mounting Hardware,Adjuster,COLLECTION,/collections/adjuster
Mechanical & Mounting Hardware,Bearing Housing,COLLECTION,/collections/bearing-housing
Mechanical & Mounting Hardware,Bolt,COLLECTION,/collections/bolt
Mechanical & Mounting Hardware,Bracket,COLLECTION,/collections/bracket
Mechanical & Mounting Hardware,Bushing,COLLECTION,/collections/bushing
Mechanical & Mounting Hardware,Clamp,COLLECTION,/collections/clamp
Mechanical & Mounting Hardware,Clip,COLLECTION,/collections/clip
Mechanical & Mounting Hardware,Coupler Shaft,COLLECTION,/collections/coupler-shaft
Mechanical & Mounting Hardware,Fastener,COLLECTION,/collections/fastener
Mechanical & Mounting Hardware,Frame,COLLECTION,/collections/frame
Mechanical & Mounting Hardware,Guide Rail,COLLECTION,/collections/guide-rail
Mechanical & Mounting Hardware,Hinge,COLLECTION,/collections/hinge
Mechanical & Mounting Hardware,Holder,COLLECTION,/collections/holder
Mechanical & Mounting Hardware,Hook,COLLECTION,/collections/hook
Mechanical & Mounting Hardware,Joint,COLLECTION,/collections/joint
Mechanical & Mounting Hardware,Lever,COLLECTION,/collections/lever
Mechanical & Mounting Hardware,Lock Nut,COLLECTION,/collections/lock-nut
Mechanical & Mounting Hardware,Mount,COLLECTION,/collections/mount
Mechanical & Mounting Hardware,Nut,COLLECTION,/collections/nut
Mechanical & Mounting Hardware,Pin,COLLECTION,/collections/pin
Mechanical & Mounting Hardware,Plate,COLLECTION,/collections/plate
Mechanical & Mounting Hardware,Retainer,COLLECTION,/collections/retainer
Mechanical & Mounting Hardware,Ring,COLLECTION,/collections/ring
Mechanical & Mounting Hardware,Screw,COLLECTION,/collections/screw
Mechanical & Mounting Hardware,Spacer,COLLECTION,/collections/spacer
Mechanical & Mounting Hardware,Spring Mount,COLLECTION,/collections/spring-mount
Mechanical & Mounting Hardware,Stopper,COLLECTION,/collections/stopper
Mechanical & Mounting Hardware,Support,COLLECTION,/collections/support
Mechanical & Mounting Hardware,Washer,COLLECTION,/collections/washer
Category Spare Parts,Safety & Protection Devices,COLLECTION,/collections/safety-protection-devices
Safety & Protection Devices,Alarm,COLLECTION,/collections/alarm
Safety & Protection Devices,Barrier,COLLECTION,/collections/barrier
Safety & Protection Devices,Breaker,COLLECTION,/collections/breaker
Safety & Protection Devices,Circuit Protector,COLLECTION,/collections/circuit-protector
Safety & Protection Devices,Cover Plate,COLLECTION,/collections/cover-plate
Safety & Protection Devices,Earth Leakage,COLLECTION,/collections/earth-leakage
Safety & Protection Devices,Emergency Stop Button,COLLECTION,/collections/emergency-stop-button
Safety & Protection Devices,Emergency Switch,COLLECTION,/collections/emergency-switch
Safety & Protection Devices,Fuse Box,COLLECTION,/collections/fuse-box
Safety & Protection Devices,Fuse Holder,COLLECTION,/collections/fuse-holder
